Input                                        Expected                Actual                  Result
0                                        Accept                  Accept            PASS
-123                                        Accept                  Accept            PASS
2147483647                                        Accept                  Accept            PASS
01                                        Reject                  Reject            PASS
1_000_000                                        Accept                  Accept            PASS
07                                        Reject                  Reject            PASS
0123                                        Reject                  Reject            PASS
-077                                        Reject                  Reject            PASS
0x1A                                        Accept                  Accept            PASS
0xG1                                        Reject                  Reject            PASS
0x0                                        Accept                  Accept            PASS
0XFF                                        Accept                  Accept            PASS
3.14                                        Accept                  Accept            PASS
.5                                        Accept                  Accept            PASS
1.2.3                                        Reject                  Reject            PASS
0x1p10                                        Reject                  Reject            PASS
100.                                        Accept                  Accept            PASS
